127.0.0.1 - - [19/Jan/2023:18:29:56 +0700] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:11 +0700] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:11 +0700] "GET /tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:11 +0700] "GET /tomcat.css HTTP/1.1" 200 5895
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:11 +0700] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:11 +0700] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:11 +0700] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:11 +0700] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:11 +0700] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:11 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:15 +0700] "GET /hello/customers HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:21 +0700] "GET /hello/ HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:30 +0700] "GET /hello/costomers HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [19/Jan/2023:18:30:38 +0700] "GET /hello/customers HTTP/1.1" 200 82
