127.0.0.1 - - [01/Mar/2023:13:52:08 +0700] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:19 +0700] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:19 +0700] "GET /tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:19 +0700] "GET /tomcat.css HTTP/1.1" 200 5895
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:19 +0700] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:19 +0700] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:19 +0700] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:19 +0700] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:19 +0700] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:19 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:23 +0700] "GET /hello HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:26 +0700] "GET /hello/ HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [01/Mar/2023:13:52:49 +0700] "GET / HTTP/1.1" 200 11428
